"56","Av. João Pessoa 1831","-51.21297","-30.04586","1","1","3","3","3","3","5","4","5","3","2013-09-19",NULL,"242046",NULL,NULL,NULL,"FARROUPILHA","1","PCDs"
"58","Av. Érico Veríssimo 100","-51.21937","-30.04486","1","1","3","3","3","3","5","4","5","3","2012-03-29",NULL,"221880",NULL,NULL,NULL,"MENINO DEUS","1","PCDs"
"60"," Praça Garibaldi, 22","-51.21947","-30.04442","1","1","3","3","3","3","5","4","5","3","2007-02-09",NULL,"160527",NULL,NULL,NULL,"CIDADE BAIXA","1","PCDs"
"61","R. Prof. Freitas e Castro, 481","-51.21227962086675","-30.048317147676958","2","1","3","3","3","3","5","4","5","3","2014-04-30","0000-00-00","240274",,,"AAE","AZENHA","1","PCDs"
"65","Av. Heitor Viêira, 322","-51.18432","-30.21042","1","1","3","3","3","3","5","4","5","3","2013-07-17",NULL,"234373",NULL,NULL,NULL,"BELEM NOVO","1","PCDs"
"67","Av. Wenceslau Escobar, 2825","-51.25532973743441","-30.112913758505435","2","1","3","3","3","3","5","4","5","3","2011-11-14","0000-00-00","209673",,,"AAE","CRISTAL","1","PCDs"
"69","Rua Frederico Mentz, 1606","-51.20238609325406","-29.996603625898217","1","1","3","3","3","3","5","4","5","3","2012-10-26",NULL,"223450",NULL,NULL,NULL,"NAVEGANTES","1","PCDs"
"70","Av. Severo Dullius, 90010","-51.1769","-29.98971","2","1","3","3","3","3","5","4","5","3","2009-07-27",NULL,"190206",NULL,NULL,NULL,"SAO JOAO","1","PCDs"
"73","Av. dos Gaúchos, 2000","-51.12884215707777","-29.993295176293596","1","1","3","3","3","3","5","4","5","3","2014-01-30",NULL,"234869",NULL,NULL,NULL,"PASSO DAREIA","1","PCDs"
"75","Rua Jackson de Figueiredo, 40","-51.127590943516566","-29.99198556743821","1","1","3","3","3","3","5","4","5","3","2014-01-30",NULL,"234755",NULL,NULL,NULL,"PASSO DAREIA","1","PCDs"
"78","Rua Francisco Mattos Terres, 40","-51.20043","-30.15974","1","1","3","3","3","3","5","4","5","3","2009-01-27",NULL,"177499",NULL,NULL,NULL,"HIPICA","1","PCDs"
"79","Praça Japão, 30","-51.17993","-30.02727","1","1","3","3","3","3","5","4","5","3","2015-09-14",NULL,"261494",NULL,NULL,NULL,"BOA VISTA","1","PCDs"
"109","Av. Piratini, 76","-51.21298","-30.04445","1","1","3","3","3","3","5","4","5","3","2012-10-09",NULL,"222474",NULL,NULL,NULL,"SANTANA","1","PCDs"
"112","Rua Sete de Abril, 481","-51.2072517496681","-30.020355874703636","1","1","3","3","3","3","5","4","5","3","2011-08-01",NULL,"225844",NULL,NULL,"AAE","FLORESTA","1","PCDs"
"113","Rua Visconde do Rio Branco, 671","-51.20341247850422","-30.018305570276155","1","1","3","3","3","3","5","4","5","3","2011-10-20",NULL,"208387",NULL,NULL,NULL,"MOINHOS DE VENTO","1","PCDs"
"120","Rua Padre Chagas, 310","-51.20278830919267","-30.024467156618776","1","1","3","3","3","3","5","4","5","3","2014-05-21",NULL,"239995",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"123","Largo José Antônio Daudt","-51.20094","-30.02615","2","1","3","3","3","3","5","4","5","3","2000-10-25",NULL,"102814",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"126","Rua Comendador Coruja, 380","-51.21275","-30.02496","1","1","3","3","3","3","5","4","5","3","1999-05-10",NULL,"86514",NULL,NULL,NULL,"FLORESTA","1","PCDs"
"128","Av. Cristóvão Colombo, 141","-51.21582256564142","-30.02795258345209","1","1","3","3","3","3","5","4","5","3","2014-09-01",NULL,"246208",NULL,NULL,"AAE","INDEPENDENCIA","1","PCDs"
"129","Rua Dr. Barros Cassal, 536","-51.21720463558199","-30.030063516214618","1","1","3","3","3","3","5","4","5","3","2011-09-02",NULL,"205943",NULL,NULL,"AAE","BOM FIM","1","PCDs"
"130","Rua Castro Alves, 128","-51.20946","-30.03024","1","1","3","3","3","3","5","4","5","3","2012-05-13",NULL,"114920",NULL,NULL,NULL,"INDEPENDENCIA","1","PCDs"
"132","Rua Castro Alves, 415","-51.20635043741703","-30.030701235025855","1","1","3","3","3","3","5","4","5","3","2001-05-03",NULL,"106740",NULL,NULL,"AAE","RIO BRANCO","1","PCDs"
"134","Rua Dona Laura, 414","-51.2013332956314","-30.029494267924264","1","1","3","3","3","3","5","4","5","3","2013-07-03",NULL,"234427",NULL,NULL,"AAE","RIO BRANCO","1","PCDs"
"135","Rua Vasco da Gama, 693","-51.205132652778616","-30.032608202253453","1","1","3","3","3","3","5","4","5","3","2013-01-03",NULL,"225954",NULL,NULL,"AAE","RIO BRANCO","1","PCDs"
"136","Av. Borges de Medeiros 2500 - Parque Marinha do Brasil","-51.229750466270445","-30.049437875936846","2","1","3","3","3","3","5","4","5","3","2012-12-14",NULL,"225315",NULL,NULL,NULL,"PRAIA DE BELAS","1","PCDs"
"138","Rua Cel André Belo 703","-51.22177609325411","-30.046513217719305","1","1","3","3","3","3","5","4","5","3","2009-02-20",NULL,"178110",NULL,NULL,NULL,"MENINO DEUS","1","PCDs"
"141","Rua Dr. Vicente de Paula Dutra 31","-51.22935","-30.04342","2","1","3","3","3","3","5","4","5","3","2004-08-02",NULL,"161487",NULL,NULL,"AAE","PRAIA DE BELAS","1","PCDs"
"143","Rua Márcio L. Veras Vidor, 10","-51.23102046627048","-30.04436535635611","2","1","3","3","3","3","5","4","5","3","2012-08-03",NULL,"225301",NULL,NULL,"AAE","PRAIA DE BELAS","1","PCDs"
"144","Rua João Neves da Fontoura, 7","-51.21707685952549","-30.047083957132102","1","1","3","3","3","3","5","4","5","3","2008-09-03",NULL,"164974",NULL,NULL,NULL,"AZENHA","1","PCDs"
"146","Av. Borges de Medeiros, 3160","-51.23065908353652","-30.056241423466403","1","1","3","3","3","3","5","4","5","3","2013-03-04",NULL,"227734",NULL,NULL,NULL,"PRAIA DE BELAS","1","PCDs"
"147","Av. Borges de Medeiros, 3200","-51.23093535106506","-30.05702117052697","1","1","3","3","3","3","5","4","5","3","2013-03-04",NULL,"227735",NULL,NULL,NULL,"PRAIA DE BELAS","1","PCDs"
"149","Av. Otto Niemeyer, 665","-51.25227","-30.10939","1","1","3","3","3","3","5","4","5","3","2010-11-23",NULL,"193363",NULL,NULL,NULL,"TRISTEZA","1","PCDs"
"150","Av. Padre Cacique, 96","-51.23054620982168","-30.06049553588564","2","1","3","3","3","3","5","4","5","3","2013-08-21",NULL,"155199",NULL,NULL,"AAE","MENINO DEUS","1","PCDs"
"152","Av. Praia de Belas, 2170","-51.22957","-30.0577","1","1","3","3","3","3","5","4","5","3","2011-04-30",NULL,"238325",NULL,NULL,"AAE","MENINO DEUS","1","PCDs"
"155","Lg Telmo Thompson Flores 59","-51.23042","-30.05878","1","1","3","3","3","3","5","4","5","3","2013-12-31",NULL,"238339","data ficticia",NULL,"AAE","MENINO DEUS","1","PCDs"
"156","Lg Telmo Thompson Flores 15","-51.23047","-30.05875","1","1","3","3","3","3","5","4","5","3","2013-12-31",NULL,"238332","data ficticia",NULL,"AAE","MENINO DEUS","1","PCDs"
"158","Rua Botafogo, 396","-51.22644","-30.05397","1","1","3","3","3","3","5","4","5","3","2011-05-20",NULL,"201874",NULL,NULL,NULL,"MENINO DEUS","1","PCDs"
"163","Rua Visconde do Herval, 681","-51.222112186508184","-30.05329232161277","1","1","3","3","3","3","5","4","5","3","2008-01-17",NULL,"171717",NULL,NULL,NULL,"MENINO DEUS","1","PCDs"
"165","Rua Cel. Bordini, 74","-51.19752","-30.01867","1","1","3","3","3","3","5","4","5","3","2013-09-02","0000-00-00","237625",,,,"AUXILIADORA","1","PCDs"
"166","Alameda Coelho Neto 35","-51.18104291534422","-30.02838018856007","1","1","3","3","3","3","5","4","5","3","2014-02-28",NULL,"263427",NULL,NULL,NULL,"BOA VISTA","1","PCDs"
"168","Praça Japão 31","-51.17968","-30.02774","1","1","3","3","3","3","5","4","5","3","2015-09-14",NULL,"261494",NULL,NULL,NULL,"BOA VISTA","1","PCDs"
"171","Rua Prof. , 285","-51.17333","-30.02544","1","1","3","3","3","3","5","4","5","3","2012-08-27",NULL,"227996",NULL,NULL,NULL,"BOA VISTA","1","PCDs"
"172","Rua Américo Vespúcio, 494","-51.18751049570085","-30.012520386787134","1","1","3","3","3","3","5","4","5","3","2013-11-12",NULL,"240858",NULL,NULL,NULL,"SAO JOAO","1","PCDs"
"173","Rua Artur Rocha, 200","-51.18858463558195","-30.02511194318863","1","1","3","3","3","3","5","4","5","3","2013-06-05",NULL,"232368",NULL,NULL,NULL,"MONT SERRAT","1","PCDs"
"174","Rua Três de Abril, 90","-51.17826072883605","-30.014336976753608","1","1","3","3","3","3","5","4","5","3","2008-03-28",NULL,"169404",NULL,NULL,NULL,"PASSO DAREIA","1","PCDs"
"175","Rua Valentim Vicentini, 100","-51.17741145767212","-30.014776967545796","2","1","3","3","3","3","5","4","5","3","1999-08-04",NULL,"88553",NULL,NULL,NULL,"PASSO DAREIA","1","PCDs"
"176","Av. dos Estados - Aeroporto Terminal 1","-51.18235","-29.99115","1","1","3","3","3","3","5","4","5","3","2010-12-31",NULL,"215173",NULL,NULL,NULL,"HUMAITA","1","PCDs"
"177","Severo Dullius 90010 - Via elevada","-51.17688749206542","-29.98987999999999","2","1","3","3","3","3","5","4","5","3","2009-07-27",NULL,"190218",NULL,NULL,NULL,"ANCHIETA","1","PCDs"
"179","R. João Paetzel, 364","-51.16708953372955","-30.0385174925786","2","1","3","3","3","3","5","4","5","3","2010-02-22",NULL,"186937",NULL,NULL,NULL,"CHACARA DAS PEDRAS","1","PCDs"
"180","R. Dom Diogo de Souza, 100","-51.155","-30.01133","1","1","3","3","3","3","5","4","5","3","2014-07-24",NULL,"248777",NULL,NULL,NULL,"CRISTO DEREDENTOR","1","PCDs"
"181","R. Elízio Abaete Crivella, 77","-51.14188125396731","-30.02010980893074","1","1","3","3","3","3","5","4","5","3","2002-02-17",NULL,"116844 - 216885",NULL,NULL,NULL,"JARDIM ITU","1","PCDs"
"182","R. Gomes de Freitas, 12","-51.14293921288015","-30.010077935062878","1","1","3","3","3","3","5","4","5","3","2010-12-06",NULL,"194272",NULL,NULL,NULL,"JARDIM ITU","1","PCDs"
"183","R. Aliança, 25","-51.15418781349183","-30.010227034776552","1","1","3","3","3","3","5","4","5","3","2008-08-05",NULL,"166636",NULL,NULL,NULL,"JARDIM LINDOIA","1","PCDs"
"184","Av. Andaraí, 15","-51.16793256564142","-30.01209632262534","1","1","3","3","3","3","5","4","5","3","2011-05-15",NULL,"201781 - 240902",NULL,NULL,NULL,"PASSO DA AREIA","1","PCDs"
"185","R. Álvares Machado, 49","-51.1867","-30.04415","1","1","3","3","3","3","5","4","5","3","2010-11-30",NULL,"187081",NULL,NULL,NULL,"PETROPOLIS","1","PCDs"
"186","Rua Caju, 84","-51.18218900859836","-30.043976759265217","1","1","3","3","3","3","5","4","5","3","2003-10-14","0000-00-00","130964 - 243384",,,,"PETROPOLIS","1","PCDs"
"188","
Praça Farroupilha, 196","-51.1502","-30.02944","1","1","3","3","3","3","5","4","5","3","2013-06-06",NULL,"232565",NULL,NULL,NULL,"VILA JARDIM","1","PCDs"
"189","R. Aldrovando Leão, 160","-51.1522702037048","-30.035653898760213","1","1","3","3","3","3","5","4","5","3","1999-08-01",NULL,"88654",NULL,NULL,NULL,"VILA JARDIM","1","PCDs"
"190","Largo Vespasiano Júlio Veppo, 125","-51.21825291534424","-30.02269677670567","2","1","3","3","1","3","5","4","5","3","2010-03-22",NULL,"186613",NULL,NULL,NULL,"FLORESTA","1","PCDs"
"191","Rua Albion, 358","-51.16542927116393","-30.05871035864688","1","1","3","3","1","3","5","4","5","3","2012-03-16",NULL,"230283",NULL,NULL,NULL,"PARTENON","1","PCDs"
"193","Av. Ipiranga, 1803","-51.211300991401686","-30.046896782376038","1","1","3","3","3","3","5","4","5","3","2013-09-11",NULL,"238096",NULL,NULL,NULL,"SANTANA","1","PCDs"
"195","Rua Marcílio Dias, 1554","-51.21331","-30.05042","1","1","3","3","3","3","5","4","5","3","2014-04-29",NULL,"240254",NULL,NULL,"AAE","AZENHA","1","PCDs"
"196","Rua São Josemaría Escrivá, 165","-51.16637489814758","-30.05417928636824","1","1","3","3","3","3","5","4","5","3","2009-05-06",NULL,"171057",NULL,NULL,NULL,"JARDIM DO SALSO","1","PCDs"
"202","R. Prof. Freitas e Castro, 740","-51.21059385250089","-30.047418634333447","1","1","3","3","3","3","5","4","5","3","2013-09-11",NULL,"238098",NULL,NULL,NULL,"SANTANA","1","PCDs"
"204","Rua Coronel Genuíno, 423","-51.22834","-30.03724","1","1","3","3","3","3","5","4","5","3","2016-03-30",NULL,"265949",NULL,NULL,"AAE","CENTRO","1","PCDs"
"205","R. São Manoel, 1765","-51.20154","-30.04905","1","1","3","3","3","3","5","4","5","3","2013-05-02",NULL,"230943",NULL,NULL,NULL,"SANTANA","1","PCDs"
"206","Rua Manoelito de Ornelas 55","-51.23097","-30.04709","1","1","3","3","3","3","5","4","5","3","2015-02-23",NULL,"260355",NULL,NULL,NULL,"PRAIA DE BELAS","1","PCDs"
"207","Rua Brigadeiro Oliveira Neri 115","-51.17969731779101","-30.010062516763416","1","1","3","3","3","3","5","4","5","3","2014-03-27",NULL,"246605",NULL,NULL,NULL,"PASSO DA AREIA","1","PCDs"
"208","Av. Teixeira Mendes, 1240","-51.16597","-30.02901","1","1","3","3","3","3","5","4","5","3","2013-09-09",NULL,"238179",NULL,NULL,NULL,"TRES FIGUEIRAS","1","PCDs"
"209","Rua  São Manoel, 543","-51.20505390674589","-30.03860783394746","1","1","3","3","3","3","5","4","5","3","2013-05-02",NULL,"230943",NULL,NULL,NULL,"SANTA CECILIA","1","PCDs"
"210","Praça Doutor Maurício Cardoso 49","-51.20304","-30.02288","1","1","3","3","3","3","5","4","5","3","2015-11-16",NULL,"262692",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"211","Rua dos Andradas, 515","-51.23649273056219","-30.032270989598615","1","1","3","3","3","3","5","4","5","3","1999-08-07",NULL,"89242",NULL,NULL,NULL,"CENTRO","1","PCDs"
"212","Rua Silva Só 269","-51.20415994232792","-30.040313261671475","1","1","3","3","3","3","5","4","5","3","2016-03-14",NULL,"264927",NULL,NULL,NULL,"SANTA CECILIA","1","PCDs"
"216","Rua Antenor Lemos","-51.228976530671105","-30.059760535169385","1","1","1","1","1","3","1","1","1","3",NULL,NULL,NULL,NULL,NULL,"AAE","MENINO DEUS","1","PCDs"
"217","Rua Grão Pará","-51.2282147833","-30.0596583908","1","1","1","1","1","3","1","1","1","3",NULL,NULL,NULL,NULL,NULL,"AAE","MENINO DEUS","1","PCDs"
"221","Rua Florencio Ygartua, 15","-51.20315282243729","-30.026623737627","1","1","1","1","1","1","1","1","1","3","2016-07-01",NULL,"267333",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"223","Fernando Gomes, 221","-51.204458323660674","-30.027143458397614","1","1","3","3","3","3","5","4","5","3","2016-11-10",NULL,"vist Fagner",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"224","Comendador Caminha, 372 DF","-51.201652733031096","-30.025387259772497","1","1","3","3","3","3","5","4","5","3","2016-11-10",NULL,"vist Fagner",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"225","Dinarte Ribeiro, 214","-51.202162264234914","-30.023920734325465","1","1","1","1","1","1","2","1","1","2","2020-08-00","0000-00-00","269560",,"0087.002.16.1","AAE","MOINHOS DE VENTO","1","PCDs"
"230","Venâncio Aires, DF 351","-51.216610368888155","-30.04125126515156","1","1","3","3","3","3","5","4","5","3",NULL,NULL,"265051",NULL,NULL,NULL,"AZENHA","1","PCDs"
"446","Rua Dona Laura, 204","-51.20371912055015","-30.02962895372027","2","1","3","3","3","3","5","4","5","3","2014-09-12",NULL,"252171",NULL,NULL,"AAE","RIO BRANCO","1","PCDs"
"447","Rua Henrique Dias, 115","-51.2110210456467","-30.033098529125834","1","1","1","3","1","1","2","1","1","2","0000-00-00","0000-00-00","Projetado",,"0121.002.16.1",,"BOM FIM","1","PCDs"
"448","Praça Doutor Maurício Cardoso 141","-51.20204758266448","-30.022787106939898","1","1","3","3","3","3","5","4","5","3","2016-11-10",NULL,"vist Fagner",NULL,NULL,"AAE","MOINHOS DE VENTO","1","PCDs"
"451","Lg. Abelard Jacques Noronha","-51.20132918740546","-30.028455647425393","2","1","1","1","1","1","1","0","1","4","2017-12-05","0000-00-00","Projetado",,"0126.002.16.1",,"MOINHOS DE VENTO","1","PCDs"
"455","Rua Mariante, 86","-51.20432789708411","-30.02868264170775","1","1","1","1","1","1","2","1","1","2","2017-12-05","0000-00-00","Projetado",,"0126.002.16.1",,"MOINHOS DE VENTO","1","PCDs"
"457","Rua Ramiro Barcelos, 2337","-51.208281473172065","-30.040138501442854","1","1","1","1","1","1","1","3","1","2","0000-00-00","0000-00-00","271613",,"0120.002.16.1",,"SANTANA","1","PCDs"
